idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
An arm and a leg	["That%20new%20lawnmower%20is%20top%20of%20the%20range.%20It%20cost%20me%20an%20arm%20and%20a%20leg."]	["Very%20expensive.%20A%20large%20amount%20of%20money."]	USA, mid-20th century. Often mistakenly thought to be related to the high cost of painting full-length portraits.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-arm-and-a-leg.mp3	the_human_body,money,america	an arm and a leg
an ax to grind (1)	["I%20have%20an%20ax%20to%20grind%20with%20Mitch.%20He%20owes%20me%20money%20and%20he%27s%20been%20avoiding%20me.","If%20Larry%20has%20an%20ax%20to%20grind%20with%20someone%2C%20and%20he%20meets%20them%20after%20he%27s%20been%20drinking%2C%20he%20can%20get%20violent."]	["If%20you%20have%20an%20ax%20to%20grind%20with%20someone%2C%20you%20have%20a%20problem%20with%20them%2C%20or%20a%20complaint%20against%20them%2C%20which%20you%27d%20like%20to%20discuss.",""]	NA	NA	NA	A,American	an ax to grind (1)
An axe to grind	["Hey%2C%20I%27ve%20an%20axe%20to%20grind%20with%20you.%20Didn%27t%20I%20hear%20you%20calling%20my%20sister%20a%20slag%3F"]	["A%20dispute%20with%20someone."]	USA, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-axe-to-grind.mp3	conflict,america	an axe to grind
an axe to grind (2)	["Billy%27s%20had%20this%20axe%20to%20grind%20about%20globalisation%20recently%20and%20he%27s%20always%20going%20on%20about%20it.","These%20people%20always%20seem%20to%20have%20an%20axe%20to%20grind%20and%20whenever%20someone%20interviews%20them%20they%20see%20it%20as%20a%20chance%20to%20push%20their%20ideas."]	["If%20you%20have%20an%20axe%20to%20grind%2C%20you%20have%20a%20strong%20opinion%20about%20something%20and%20you%20express%20this%20opinion%20whenever%20you%20can.",""]	NA	NA	NA	A,British	an axe to grind (2)
an end in itself	["Billy%20says%20playing%20music%20in%20a%20band%20is%20an%20end%20in%20itself%20for%20him%2C%20but%20I%20think%20he%20does%20it%20to%20meet%20girls.","People%20used%20to%20think%20education%20was%20an%20end%20in%20itself%2C%20but%20these%20days%20kids%20study%20in%20order%20to%20make%20lots%20of%20money%20when%20they%20graduate."]	["If%20something%20is%20an%20end%20in%20itself%2C%20it%27s%20done%20for%20its%20own%20pleasure%20or%20benefit%20rather%20than%20for%20some%20%20other%20purpose%20like%20making%20money.",""]	NA	NA	NA	E	an end in itself
an even break	["All%20Monica%20needs%20is%20an%20even%20break%20and%20she%20could%20be%20one%20of%20the%20country%27s%20top%20models.","He%20says%20he%27s%20never%20had%20an%20even%20break%20in%20life%20and%20that%27s%20why%20he%27s%20never%20achieved%20much."]	["If%20you%20get%20an%20even%20break%2C%20you%20get%20a%20fair%20opportunity%20to%20succeed%20in%20your%20ambition%20or%20to%20achieve%20your%20goals.",""]	NA	NA	NA	American,E	an even break
an eye-opener	["Al%20Gore%27s%20movie%20%22An%20Inconvenient%20Truth%22%20was%20a%20real%20eye-opener%20for%20me.%20I%20hadn%27t%20really%20understood%20how%20serious%20global%20warming%20was%20until%20I%20saw%20it.","Cathy%20said%20her%20trip%20to%20Thailand%20was%20quite%20an%20eye-opener%20for%20her.%20She%27d%20never%20realized%20before%20how%20beautiful%20Thailand%20was%2C%20or%20how%20friendly%20the%20people%20were."]	["You%20can%20say%20something%27s%20an%20eye-opener%20if%20it%27s%20made%20you%20realize%20something%20you%20hadn%27t%20been%20aware%20of%20before.",""]	NA	NA	NA	Body,E	an eye-opener
an ivory tower	["People%20often%20complain%20that%20academics%20stuck%20in%20their%20ivory%20towers%20don%27t%20really%20understand%20the%20problems%20of%20the%20average%20person.","Peter%27s%20dream%20is%20to%20get%20tenure%20in%20a%20university%20and%20spend%20the%20rest%20of%20his%20life%20hidden%20away%20in%20an%20ivory%20tower."]	["You%20can%20say%20someone%27s%20in%20an%20ivory%20tower%20if%20they%27re%20in%20a%20place%20that%20separates%20them%20from%20everyday%20life%2C%20such%20as%20a%20university.",""]	NA	NA	NA	Buildings,I	an ivory tower
An open and shut case	["He%20was%20caught%20with%20the%20stolen%20money%20and%20the%20police%20had%20his%20picture%20at%20the%20crime%20scene%20on%20CCTV%20-%20it%20was%20an%20open%20and%20shut%20case."]	["A%20straightforward%20legal%20case%20in%20which%20the%20outcome%20is%20clear."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-open-and-shut-case.mp3	legal,america	an open and shut case
an unknown quantity	["The%20Saints%20have%20signed%20a%20new%20player%2C%20but%20he%27s%20an%20unknown%20quantity%20at%20this%20stage%20as%20very%20few%20people%20have%20seen%20him%20play.","We%27ve%20all%20heard%20stories%20about%20a%20great%20new%20Ferrari%20engine%2C%20but%20it%27s%20still%20an%20unknown%20quantity%20as%20far%20as%20racing%20is%20concerned."]	["If%20a%20thing%20or%20a%20person%20is%20an%20unknown%20quantity%2C%20not%20much%20is%20known%20about%20them.",""]	NA	NA	NA	U	an unknown quantity
an uphill battle | struggle | task	["Getting%20a%20permit%20to%20open%20a%20bar%20is%20an%20uphill%20battle%20-%20unless%20you%20know%20someone%20on%20the%20council%2C%20that%20is.","Looking%20for%20a%20job%20when%20you%27re%20in%20your%2060%27s%20is%20an%20uphill%20task%20these%20days.%20Most%20companies%20want%20youth%2C%20not%20experience."]	["If%20doing%20something%20is%20an%20uphill%20battle%2C%20an%20uphill%20struggle%20or%20an%20uphill%20task%2C%20it%20is%20difficult%20to%20do%20because%20of%20obstacles%20such%20as%20opposition%20from%20other%20people.",""]	NA	NA	NA	U	an uphill battle,struggle,task
Ankle biter	["Janice%20is%20pregnant%20again.%20With%20the%20twins%20still%20only%20two%20there%27s%20soon%20going%20to%20be%20three%20ankle%20biters%20around%20the%20place."]	["A%20slang%20term%20for%20small%20child."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/ankle-biter.mp3	the_human_body,childhood,slang,america	ankle biter
another string to your bow	["Lots%20of%20people%20learn%20to%20teach%20English%20so%20they%27ll%20have%20another%20string%20to%20their%20bow.","I%27ve%20lost%20my%20job%20and%20I%27ll%20have%20to%20retrain%20for%20something%20else.%20I%20wish%20I%20already%20had%20another%20string%20to%20my%20bow."]	["If%20you%20have%20another%20string%20to%20your%20bow%2C%20you%20have%20another%20way%20of%20making%20a%20living.",""]	Probably metaphorical, from the fact that if an archer has a spare string for their bow, they can still shoot an arrow even if their first string breaks.	NA	NA	A,British,Sports	another string to your bow
answer the call of nature	["Could%20we%20stop%20somewhere%3F%20I%20need%20to%20answer%20the%20call%20of%20nature.","Does%20anyone%20need%20to%20answer%20the%20call%20of%20nature%20before%20we%20set%20off%3F"]	["If%20you%20answer%20the%20call%20of%20nature%2C%20you%20go%20to%20the%20toilet.",""]	NA	NA	NA	A,Nature	answer the call of nature
Apples and pears	["Time%20for%20bed%20Jimmy%20-%20get%20yourself%20up%20the%20apples%20and%20pears."]	["Cockney%20rhyming%20slang%20for%20stairs."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/apples-and-pears.mp3	cockney_rhyming_slang,food,fruit	apples and pears
around the clock	["I%20have%20to%20finish%20this%20report%20by%20Tuesday%2C%20so%20I%27ll%20be%20working%20around%20the%20clock%20until%20I%20get%20it%20done.","What%20the%20young%20people%20of%20this%20town%20need%20is%20a%20drop-in%20centre%20that%27s%20open%20around%20the%20clock."]	["If%20something%20occurs%20around%20the%20clock%2C%20it%20goes%20on%20all%20day%20and%20all%20night.",""]	NA	NA	NA	A,Time	around the clock
As high as a kite	["%20The%20Petronas%20Tower%20is%20as%20high%20as%20a%20kite.%20","%20She%20was%20ecstatic%20that%20she%20won%20the%20gold%20medal.%20She%20was%20high%20as%20a%20kite%20afterwards."]	["%20Very%20high%20up%20in%20the%20sky.%20","%20High%20on%20drugs%20or%20excitement."]	1. Britain - 17th century. It probably refers to Red Kites, birds that were common in the UK in the 17th century, rather than children's kites. 2. USA.	1. In the UK. 2. Worldwide.	https://www.phrases.org.uk/idioms/audio/as-high-as-a-kite.mp3	medical,cliche,animals,happiness,america	as high as a kite
as soon as possible | asap	["She%20said%20she%27ll%20be%20here%20as%20soon%20as%20possible%2C%20so%20there%27s%20no%20point%20calling%20her%20again.%20She%27s%20coming%20as%20quickly%20as%20she%20can.","I%27m%20in%20a%20meeting%20now%2C%20but%20I%27ll%20call%20you%20back%20asap."]	["If%20you%20do%20something%20as%20soon%20as%20possible%20%28sometimes%20abbreviated%20to%20%22asap%22%29%2C%20you%20do%20it%20at%20the%20first%20possible%20opportunity.",""]	NA	NA	NA	A	as soon as possible,asap
asking for trouble	["Don%27t%20you%20think%20that%20working%20all%20day%20and%20then%20partying%20all%20night%20is%20asking%20for%20trouble%3F","Running%20fast%20without%20warming%20up%20properly%20is%20asking%20for%20trouble%2C%20and%20could%20easily%20cause%20a%20muscle%20strain."]	["If%20someone%20is%20asking%20for%20trouble%2C%20they%27re%20doing%20something%20risky%20that%20could%20lead%20to%20a%20problem.",""]	NA	NA	NA	A	asking for trouble
at a loose end	["If%20I%27m%20ever%20at%20a%20loose%20end%2C%20I%20look%20for%20a%20good%20book%20to%20read.","Give%20me%20a%20call%20if%20you%27re%20at%20a%20loose%20end%20and%20we%27ll%20go%20and%20do%20something."]	["If%20you%27re%20at%20a%20loose%20end%2C%20you%20have%20nothing%20to%20do.",""]	NA	NA	NA	A,British	at a loose end
at cross-purposes	["I%20was%20talking%20to%20Kyle%20about%20Georgia%2C%20but%20we%20were%20at%20cross-purposes.%20I%20was%20talking%20about%20Georgia%20in%20Russia%2C%20and%20he%20was%20talking%20about%20Georgia%20in%20the%20U.S.A.%20We%20laughed%20when%20we%20realised%20we%20were%20talking%20about%20two%20different%20%22Georgias%22.","Jill%20and%20I%20were%20at%20cross-purposes%20today%20when%20we%20were%20talking%20about%20John.%20I%20was%20talking%20about%20John%20Smith%2C%20my%20neighbour%2C%20but%20she%20thought%20I%20was%20talking%20John%20at%20work%21"]	["If%20you%27re%20at%20cross-purposes%20with%20someone%2C%20you%20think%20you%27re%20both%20talking%20about%20the%20same%20thing%20but%20you%27re%20actually%20talking%20about%20different%20things.",""]	NA	NA	NA	A	at cross-purposes
at loose ends	["Hank%27s%20been%20at%20loose%20ends%20since%20he%20lost%20his%20job%2C%20so%20I%20hope%20he%20finds%20another%20one%20soon.","We%20tried%20limiting%20the%20time%20Jimmy%20could%20play%20computer%20games%2C%20but%20he%20gets%20restless%20and%20moody%20whenever%20he%27s%20at%20loose%20ends%2C%20so%20we%20let%20him%20play."]	["If%20you%27re%20at%20loose%20ends%2C%20you%20feel%20restless%20and%20unsettled%20because%20you%20don%27t%20have%20anything%20to%20do.",""]	NA	NA	NA	A,American	at loose ends
at sea | all at sea	["I%27m%20all%20at%20sea%20with%20our%20new%20spreadsheet%20software.%20I%20just%20can%27t%20understand%20it.","For%20the%20first%20few%20days%20in%20her%20new%20job%2C%20Gail%20felt%20totally%20at%20sea.%20She%20didn%27t%20know%20what%20to%20do%20or%20who%20to%20ask%20for%20help."]	["If%20you%27re%20at%20sea%2C%20or%20all%20at%20sea%2C%20you%27re%20confused%20about%20something%20and%20not%20sure%20what%20to%20do.",""]	NA	NA	NA	A,Nature	at sea,all at sea
At the drop of a hat	["They%20were%20always%20ready%20to%20help.%20Just%20say%20the%20word%20and%20they%27d%20be%20there%20at%20the%20drop%20of%20a%20hat.","I%27d%20quit%20my%20job%20at%20the%20drop%20of%20a%20hat%20if%20I%20didn%27t%20have%20a%20family%20to%20support.","Lee%3A%20You%20can%27t%20just%20go%20running%20off%20to%20some%20beach%20resort%20at%20the%20drop%20of%20a%20hat%20whenever%20you%20feel%20like%20it.%20Kim%3A%20Why%20not%3F"]	["With%20no%20delay.","If%20you%20do%20something%20at%20the%20drop%20of%20a%20hat%2C%20you%20do%20it%20immediately%2C%20without%20preparation%20or%20planning."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/at-the-drop-of-a-hat.mp3	clothes,america,A,Clothing	at the drop of a hat
at your wits' end	["I%27m%20at%20my%20wits%27%20end%21%20I%27ve%20been%20trying%20to%20solve%20a%20problem%20with%20some%20software%20all%20morning%20and%20I%20still%20haven%27t%20got%20it%20to%20work%21","Kelvin%20says%20he%27s%20been%20trying%20to%20get%20tickets%20for%20the%20game%20all%20day%2C%20but%20he%27s%20at%20his%20wits%27%20end.%20Nobody%27s%20got%20any%20left."]	["If%20you%27re%20at%20your%20wits%27%20end%2C%20you%27re%20upset%20and%20frustrated%20because%20you%27ve%20tried%20everything%20you%20can%20think%20of%20to%20solve%20a%20problem%2C%20and%20nothing%20has%20worked.",""]	NA	NA	NA	A	at your wits' end
Away with the fairies	["She%20says%20she%20is%20going%20to%20star%20in%20Johnny%20Depp%27s%20next%20movie.%20If%20you%20ask%20me%2C%20she%27s%20away%20with%20the%20fairies."]	["Not%20facing%20reality%3B%20in%20a%20dream%20world."]	From the Celtic folk belief in fairies.	In Ireland, but also spreading to other countries.	https://www.phrases.org.uk/idioms/audio/away-with-the-fairies.mp3	slang,madness	away with the fairies
Baby brain	["I%20put%20baby%20Julie%27s%20bottle%20of%20milk%20away%20in%20the%20oven%20today%20-%20must%20be%20baby%20brain."]	["Confusion%20or%20forgetfulness%20caused%20by%20lack%20of%20sleep%20when%20caring%20for%20a%20new-born."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-brain.mp3	family,stupidity,america	baby brain
Baby bump	["Joan%20doesn%27t%20really%20want%20to%20make%20it%20public%20that%20she%20was%20pregnant%20but%20pretty%20soon%20her%20baby%20bump%20is%20going%20to%20make%20it%20obvious."]	["The%20protruding%20belly%20of%20a%20pregnant%20woman.%20Also%20used%20to%20describe%20the%20unborn%20child%20itself."]	Britain, 1980s	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-bump.mp3	children,family	baby bump
Baby snatcher	["Jerry%20Lee%20Lewis%20never%20really%20recovered%20from%20being%20labelled%20a%20baby%20snatcher%20after%20he%20married%20his%20","%20year%20old%20cousin."]	["Someone%20who%20enters%20into%20an%20amorous%20relationship%20with%20a%20much%20younger%20person."]	Britain.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-snatcher.mp3	euphemism,slang	baby snatcher
Back seat driver	["She%27s%20always%20ready%20to%20be%20a%20back%20seat%20driver%20and%20tell%20people%20what%20to%20do%20but%20she%20never%20does%20anything%20herself."]	["Someone%20who%20criticizes%20from%20the%20side-lines%20without%20being%20directly%20involved."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/back-seat-driver.mp3	travel,vehicle,america	back seat driver
Back to square one	["He%20had%20nearly%20climbed%20the%20cliff%20before%20he%20slipped%20off.%20Now%20it%27s%20back%20to%20square%20one.","We%20were%20going%20to%20start%20the%20new%20company%20next%20month%2C%20but%20it%27s%20back%20to%20square%20one%20now%20that%20Omar%20has%20changed%20his%20mind%20about%20investing%20in%20it.","After%20they%20lost%20the%20election%2C%20the%20Liberal%20Party%20had%20to%20go%20back%20to%20square%20one%20and%20come%20up%20with%20some%20new%20policies%20and%20some%20new%20ideas."]	["Back%20to%20the%20beginning.","If%20you%20have%20to%20go%20back%20to%20square%20one%2C%20you%20have%20to%20stop%20and%20start%20again%2C%20usually%20because%20something%20isn%27t%20working%20as%20well%20as%20expected."]	Britain, early 20th century. This probably comes from board games in which players start the game from the first square on the board, or "square one".	In the UK, but less so than a few years ago.	https://www.phrases.org.uk/idioms/audio/back-to-square-one.mp3	number,sport,failure,B,Numbers	back to square one
Back to the drawing board	["That%20battery%20hovercraft%20was%20a%20nice%20idea%20but%20it%20just%20didn%27t%20work.%20I%20guess%20it%27s%20back%20to%20the%20drawing%20board.","Their%20plans%20to%20open%20a%20hotel%20in%20Fiji%20fell%20through%2C%20so%20it%20was%20back%20to%20the%20drawing%20board.","Our%20new%20drug%20worked%20on%20rats%2C%20but%20when%20it%20was%20tried%20on%20people%20it%20failed%2C%20so%20we%20had%20to%20go%20back%20to%20the%20drawing%20board%20and%20start%20again."]	["Said%20when%20a%20plan%20fails%20and%20it%27s%20time%20to%20start%20again%20and%20make%20a%20new%20plan.","You%20can%20say%20%22back%20to%20the%20drawing%20board%22%20when%20a%20plan%20or%20a%20design%20has%20failed%2C%20and%20you%20decide%20to%20begin%20all%20over%20again."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/back-to-the-drawing-board.mp3	work,cliche,america,B	back to the drawing board
backed into a corner	["When%20his%20business%20failed%2C%20Gerry%20felt%20he%27d%20been%20backed%20into%20a%20corner%20and%20he%20didn%27t%20know%20what%20he%20could%20do.","Jimmy%27s%20drug%20addiction%20had%20backed%20him%20into%20a%20corner%20and%20his%20only%20way%20out%20was%20to%20go%20into%20rehab%20and%20kick%20the%20habit."]	["If%20you%27re%20backed%20into%20a%20corner%2C%20you%27re%20in%20a%20difficult%20situation%20that%20will%20be%20hard%20to%20get%20out%20of.",""]	NA	NA	NA	B	backed into a corner
Bag lady	["It%27s%20a%20shame%20about%20Edith.%20She%20had%20a%20home%20and%20family%20this%20time%20last%20year%20and%20now%20she%27s%20divorced%20and%20living%20on%20the%20streets%20as%20a%20bag%20lady."]	["A%20homeless%20woman%2C%20who%20carries%20all%20her%20possessions%20in%20shopping%20bags."]	USA, 1970s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bag-lady.mp3	misfortune,america	bag lady
Baker's dozen	["There%27s%20got%20to%20be%20at%20least%20twelve%20in%20each%20box.%20Better%20just%20pack%20a%20baker%27s%20dozen%20to%20be%20sure."]	["Thirteen."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bakers-dozen.mp3	food,number	baker's dozen
bark up the wrong tree	["The%20police%20think%20the%20drugs%20are%20being%20brought%20in%20by%20the%20mafia%2C%20but%20they%27re%20barking%20up%20the%20wrong%20tree.%20They%20should%20be%20looking%20much%20closer%20to%20home.","She%27s%20barking%20up%20the%20wrong%20tree%20if%20she%27s%20interested%20in%20Gavin.%20Doesn%27t%20she%20know%20he%27s%20gay%3F"]	["If%20you%27re%20barking%20up%20the%20wrong%20tree%2C%20you%27re%20looking%20for%20something%20in%20the%20wrong%20place%20or%20going%20about%20something%20in%20the%20wrong%20way.",""]	Metaphorical, from the image of a dog barking up a tree in which it thinks another animal has taken refuge in order to escape it.	NA	NA	B,Plants	bark up the wrong tree
Barking up the wrong tree	["The%20government%20is%20blaming%20the%20immigrants%20for%20the%20banking%20crisis%2C%20but%20they%27re%20barking%20up%20the%20wrong%20tree%20there."]	["Responding%20to%20something%20which%20isn%27t%20the%20important%20issue."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/barking-up-the-wrong-tree.mp3	nature,animals	barking up the wrong tree
Barnet Fair	["I%27m%20not%20sure%20about%20that%20new%20hairdresser%20-%20he%20cut%20my%20barnet%20much%20too%20short."]	["Cockney%20rhyming%20slang%20for%20hair."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/barnet-fair.mp3	the_human_body,cockney_rhyming_slang,locat	barnet fair
Basket case	["The%20Greek%20economy%20took%20a%20nosedive%20after%20the%20","%20world%20financial%20meltdown%20-%20to%20the%20point%20of%20becoming%20a%20total%20economic%20basket%20case."]	["A%20person%20or%20thing%20that%20is%20no%20longer%20able%20to%20function%20effectively%2C%20either%20through%20disability%20or%20misfortune."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/basket-case.mp3	misfortune,america,medical	basket case
Bat from the pavilion end	["If%20Julian%20didn%27t%20want%20us%20to%20know%20he%20was%20batting%20from%20the%20pavilion%20end%20he%20shouldn%27t%20keep%20wearing%20those%20lilac%20loafers."]	["Slang%20term%20for%20a%20homosexuality."]	Britain, 20th century. An allusion to the game of cricket.	NA	https://www.phrases.org.uk/idioms/audio/bat-from-the-pavillion-end.mp3	sport,location,sex,euphemism,slang	bat from the pavilion end
Be a sport	["Sorry%20Mr.%20Jones%20our%20ball%20is%20in%20your%20rose%20bed%20again.%20Be%20a%20sport%20and%20throw%20it%20back%20over%20the%20fence."]	["Be%20generous%20and%2For%20sportsmanlike."]	Britain, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/be-a-sport.mp3	sport	be a sport
Be glad to see the back of	["He%20came%20for%20two%20days%20and%20stayed%20a%20month.%20To%20be%20honest%20I%20was%20glad%20to%20see%20the%20back%20of%20him%20when%20he%20finally%20left."]	["Be%20happy%20when%20a%20person%20leaves%20or%20when%20an%20unpleasant%20situation%20is%20ended."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/be-glad-to-see-the-back-of.mp3	conflict	be glad to see the back of
Beach bum	["Shane%20Warne%20was%20well%20on%20his%20way%20the%20becoming%20a%20beach%20bum%20until%20he%20found%20his%20calling%20in%20sport.%20Now%20he%27s%20a%20cricketing%20legend."]	["Someone%2C%20usually%20a%20youngster%2C%20who%20spends%20all%20their%20time%20hanging%20out%20at%20the%20beach%20surfing%20and%20partying."]	Australia, 1960s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beach-bum.mp3	australian_origin	beach bum
Bean counter	["It%27s%20a%20shame.%20Jim%20was%20a%20first%20rate%20pure%20mathematician%20but%20the%20bank%20offered%20him%20so%20much%20money%20to%20be%20their%20bean%20counter%20he%20decided%20to%20take%20it."]	["A%20disparaging%20term%20for%20an%20accountant%20or%20anyone%20who%20compiles%20statistics."]	New Zealand.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bean-counter.mp3	money	bean counter
bear the brunt	["The%20driver%20bore%20the%20brunt%20of%20the%20crash%20because%20he%20was%20right%20at%20the%20front%20of%20the%20bus.","The%20team%27s%20coach%20bore%20the%20brunt%20of%20the%20criticism%20because%20he%27d%20selected%20the%20players%20who%27d%20performed%20so%20badly."]	["If%20you%20bear%20the%20brunt%20of%20something%2C%20you%20suffer%20the%20worst%20of%20its%20impact%20or%20its%20effects.",""]	NA	NA	NA	B	bear the brunt
Beat around the bush	["If%20you%20want%20Jill%20to%20go%20out%20with%20her%2C%20don%27t%20beat%20around%20the%20bush%20-%20ask%20her."]	["Avoiding%20the%20main%20topic."]	Britain, 1400s. One of the oldest non-Biblical phrases in the language.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beat-around-the-bush.mp3	nature,biblical	beat around the bush
beat around the bush | beat about the bush	["I%20had%20trouble%20telling%20Pedro%20he%27d%20lost%20his%20job.%20I%20started%20beating%20around%20the%20bush%20and%20talking%20about%20one%20door%20closing%20and%20another%20door%20opening.","Stop%20beating%20about%20the%20bush.%20Just%20tell%20me%20what%27s%20happened%21"]	["If%20you%20beat%20around%20the%20bush%2C%20or%20beat%20about%20the%20bush%2C%20you%20don%27t%20say%20something%20directly%2C%20usually%20because%20you%20don%27t%20want%20to%20upset%20the%20person%20you%27re%20talking%20to.",""]	NA	NA	NA	B,Nature,Plants	beat around the bush,beat about the bush
beat the rap	["Everyone%20knows%20that%20Jimmy%20the%20Snitch%20did%20the%20robbery%20in%20Green%20St.%2C%20but%20he%20beat%20the%20rap%20because%20he%27s%20in%20with%20the%20cops.","Henry%20was%20charged%20with%20drunk%20driving%2C%20but%20his%20lawyer%20helped%20him%20beat%20the%20rap%20on%20some%20technical%20detail."]	["If%20someone%20beats%20the%20rap%2C%20they%20avoid%20being%20found%20guilty%20of%20a%20crime.",""]	NA	NA	NA	American,B,Law	beat the rap
Beauty contest / Beauty parade	["These%20Republican%20TV%20debates%20are%20just%20PR%20stunts%20-%20nothing%20more%20than%20beauty%20parades."]	["A%20political%20contest%20in%20which%20the%20result%20is%20influenced%20by%20personality%20and%20image%20more%20than%20by%20policy."]	USA	Mostly USA.	https://www.phrases.org.uk/idioms/audio/beauty-contest.mp3	politics	beauty contest
Bedroom tax	["Just%20because%20I%27ve%20got%20a%20room%20to%20keep%20my%20son%27s%20wheelchair%20I%27m%20going%20to%20be%20caught%20by%20the%20bedroom%20tax."]	["slang%20term%20for%20UK%27s%20removal%20of%20Spare%20Room%20Subsidy."]	Britain, following the introduction of the Spare Room Subsidy in the UK in 2013.	Britain.	https://www.phrases.org.uk/idioms/audio/bedroom-tax.mp3	money	bedroom tax
behind someone's back	["We%27ve%20taught%20our%20kids%20that%20it%27s%20impolite%20to%20talk%20about%20people%20behind%20their%20backs.","The%20nurses%20had%20to%20go%20behind%20the%20doctor%27s%20back%20when%20they%20reported%20him%20for%20drinking%20alcohol%20before%20doing%20operations."]	["If%20you%20do%20something%20behind%20someone%27s%20back%2C%20you%20do%20it%20without%20letting%20them%20know%20about%20it.",""]	NA	NA	NA	B,Body	behind someone's back
behind the eight ball	["The%20economic%20recession%20has%20really%20put%20our%20new%20business%20behind%20the%20eight%20ball.%20Nobody%27s%20spending%20money.","Carlo%20is%20behind%20the%20eight%20ball%20now%20because%20his%20final%20exam%20is%20in%20two%20days%20and%20he%20still%20hasn%27t%20started%20studying%20for%20it."]	["If%20you%27re%20behind%20the%20eight%20ball%2C%20you%27re%20in%20a%20difficult%20or%20dangerous%20position.",""]	From a version of pool in which the balls are numbered and must be potted in order. A player loses if he hits the black eight ball in first, so if the cue ball is "behind the eight ball" he's in a dangerous position.	NA	NA	American,B,Numbers,Sports	behind the eight ball
behind the times	["How%20can%20we%20be%20a%20successful%20company%20if%20our%20executives%20are%20so%20behind%20the%20times%20that%20they%20don%27t%20know%20what%20people%20want%20these%20days%3F","Neil%20is%20really%20behind%20the%20times.%20He%20doesn%27t%20even%20know%20what%20rap%20music%20sounds%20like%21"]	["If%20someone%20is%20behind%20the%20times%2C%20they%20are%20old-fashioned%20and%20their%20ideas%20%20are%20out%20of%20date.",""]	NA	NA	NA	B,Time	behind the times
Bells and whistles	["It%20was%20expensive%20to%20get%20all%20the%20optional%20extras%20for%20my%20new%20car%2C%20but%20I%20decided%20that%20I%20wasn%27t%20going%20to%20get%20another%20for%20a%20few%20years%20so%20why%20not%20go%20for%20all%20the%20bells%20and%20whistles%3F"]	["Attractive%20additional%20features%20or%20trimmings."]	USA, late 20th century. First used in the computing world to refer to machines with lots of new features. Probably ultimately deriving as an allusion to fairgound organs, which have numerous bells and whistles.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bells-and-whistles.mp3	excess,america	bells and whistles
Bend over backwards	["Everyone%20assumed%20the%20commentators%20would%20prefer%20their%20own%20team.%20They%20had%20to%20bend%20over%20backwards%20to%20show%20that%20they%20were%20being%20fair."]	["Make%20extravagant%20efforts%20to%20avoid%20bias."]	NA	NA	https://www.phrases.org.uk/idioms/audio/bend-over-backwards.mp3	effort	bend over backwards
beside the point	["What%20older%20people%20think%20of%20the%20product%20is%20beside%20the%20point.%20We%20are%20marketing%20to%20young%20people%2C%20so%20the%20only%20thing%20that%20matters%20is%20what%20they%20think.","I%20eat%20this%20food%20because%20it%27s%20good%20for%20me%2C%20so%20whether%20it%27s%20delicious%20or%20not%20is%20beside%20the%20point."]	["You%20can%20say%20something%20is%20beside%20the%20point%20if%20it%20has%20nothing%20to%20do%20with%20what%27s%20being%20talked%20about%20or%20with%20the%20reason%20something%20is%20being%20done.",""]	NA	NA	NA	B	beside the point
Between a rock and a hard place	["The%20only%20choices%20I%20have%20are%20poverty%20or%20a%20boring%20job%20-%20I%27m%20between%20a%20rock%20and%20a%20hard%20place."]	["Between%20two%20unwelcome%20options."]	USA, 20th century. Sometimes mistakenly thought to come from Homer's Odyssey.	Worldwide.	https://www.phrases.org.uk/idioms/audio/between-a-rock-and-a-hard-place.mp3	nature,cliche,america	between a rock and a hard place
Between the wars	["My%20parents%20were%20married%20in%20",".%20I%27m%20not%20really%20a%20war%20baby%2C%20more%20a%20between%20the%20wars%20baby."]	["The%20period%20between%20WWI%20and%20WWII."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/between-the-wars.mp3	date	between the wars
