idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
(your) heart isn't in it	["Ali%20was%20studying%20to%20be%20a%20doctor%2C%20but%20his%20heart%20wasn%27t%20in%20it%20so%20he%20decided%20to%20follow%20his%20real%20dream%20and%20study%20film-making%20instead.","We%20could%20tell%20that%20Sally%27s%20heart%20wasn%27t%20in%20it%20when%20she%20tried%20singing%20jazz%2C%20so%20we%20said%20she%20should%20stick%20to%20pop%20songs."]	["If%20your%20heart%20isn%27t%20in%20something%20you%27re%20doing%2C%20you%20don%27t%20really%20want%20to%20do%20it.",""]	NA	NA	NA	Body,H	(your) heart isn't in it
A bad break	["%20Tony%20has%20lost%20his%20job%2C%20just%20when%20he%20needed%20the%20cash%20to%20move%20house.%20That%E2%80%99s%20a%20bad%20break.%20","%20Tanya%E2%80%99s%20leg%20was%20crushed%20when%20the%20rock%20fell%20on%20it%20-%20a%20really%20bad%20break%20the%20doctor%20said."]	["%20A%20misfortune.%20","%20A%20serious%20bone%20fracture."]	1. USA 2. UK.	1. USA. 2. Widely used.	https://www.phrases.org.uk/idioms/audio/a-bad-break.mp3	the_human_body,medical,misfortune	a bad break
A bad hair day	["I%20missed%20the%20bus%20and%20was%20late%20on%20the%20one%20day%20the%20boss%20was%20early%20and%20now%20I%E2%80%99ve%20laddered%20my%20tights%21%20-%20talk%20about%20a%20bad%20hair%20day.","Poor%20Sue%27s%20in%20a%20terrible%20mood.%20I%20think%20she%27s%20having%20a%20bad%20hair%20day.","I%20knew%20it%20was%20going%20to%20be%20a%20bad%20hair%20day%20when%20my%20car%20wouldn%27t%20start."]	["A%20day%20on%20which%20everything%20seems%20to%20go%20wrong.","If%20you%27re%20having%20a%20bad%20hair%20day%2C%20everything%20seems%20to%20be%20going%20wrong%20for%20you."]	USA.	Predominantly in the USA but also more widely.	https://www.phrases.org.uk/idioms/audio/a-bad-hair-day.mp3	the_human_body,hair,emotion,misfortune,america,B,Body	a bad hair day
A bad workman always blames his tools	["It%20was%20really%20Andy%E2%80%99s%20fault%20that%20the%20wall%20he%20built%20fell%20down%20but%20he%20tried%20to%20claim%20that%20the%20cement%20mixer%20was%20faulty."]	["A%20proverb%20that%20suggests%20a%20poor%20workman%20tends%20to%20look%20for%20an%20excuse%20for%20his%20poor%20work."]	The expression is found in British collections of proverbs from the 16th century.	Worldwide, but less commonly than 50 years ago.	https://www.phrases.org.uk/idioms/audio/a-bad-workman-always-blames-his-tools.mp3	work,proverbial,aphorism	a bad workman always blames his tools
a bag of tricks	["I%20wonder%20what%20the%20Democrats%20will%20pull%20out%20of%20their%20bag%20of%20tricks%20to%20win%20the%20election%20this%20time.","Most%20English%20teachers%20are%20always%20looking%20for%20new%20games%20and%20activities%20to%20add%20to%20their%20bag%20of%20tricks."]	["Someone%27s%20bag%20of%20tricks%20is%20their%20collection%20of%20techniques%20or%20methods%20for%20getting%20a%20job%20done%20or%20for%20achieving%20a%20goal.",""]	NA	NA	NA	B	a bag of tricks
a ballpark figure | a ballpark estimate	["We%20don%27t%20know%20the%20exact%20cost%2C%20but%20a%20ballpark%20figure%20would%20be%20around%20six%20million%20dollars.","I%20know%20you%20can%27t%20tell%20me%20exactly%20when%20it%27ll%20be%20finished%2C%20but%20can%20you%20give%20me%20a%20ballpark%20estimate%3F"]	["If%20you%20give%20a%20ballpark%20figure%20or%20a%20ballpark%20estimate%2C%20you%20give%20a%20number%20which%20you%20think%20is%20fairly%20close%20to%20the%20actual%20one.",""]	From baseball, and probably having a history similar to that of the idiom "in the same ballpark" which means "approximately the same amount".	NA	NA	American,B,Money,Numbers,Sports,Structures	a ballpark figure,a ballpark estimate
A big ask	["Tod%20had%20only%20just%20got%20home%20from%20his%20overnight%20flight%20when%20his%20boss%20told%20him%20to%20get%20back%20to%20the%20airport%20and%20fly%20to%20Sydney.%20That%20was%20a%20big%20ask."]	["A%20favour%20which%20is%20a%20lot%20to%20ask%20of%20someone."]	Australia.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-big-ask.mp3	excess,effort,australian_origin	a big ask
A bigger bang for your buck	["Those%20Chinese%20fireworks%20are%20so%20cheap.%20We%20literally%20get%20a%20bigger%20bang%20for%20our%20buck."]	["Better%20value%20for%20your%20money."]	USA.	Worldwide, but overused to the point of cliche.	https://www.phrases.org.uk/idioms/audio/a-bigger-bang-for-your-buck.mp3	money,cliche,america	a bigger bang for your buck
A bird in the hand is worth two in the bush	["The%20questions%20in%20the%20final%20round%20looked%20hard%20so%20we%20opted%20out%20of%20the%20big%20prize%20and%20took%20the%20smaller%20%24","second%20prize.%20A%20bird%20in%20the%20hand%20is%20worth%20two%20in%20the%20bush%20you%20know."]	["It%E2%80%99s%20better%20to%20have%20a%20lesser%20but%20certain%20advantage%20than%20the%20possibility%20of%20a%20greater%20one%20that%20may%20come%20to%20nothing."]	The United Kingdom.	One of the most widely used proverbs throughout the English-speaking world.	https://www.phrases.org.uk/idioms/audio/a-bird-in-the-hand-is-worth-two-in-the-bush.mp3	animals,proverbial,nature,risk	a bird in the hand is worth two in the bush
A bite to eat	["We%20won%E2%80%99t%20have%20time%20for%20a%20meal%20after%20the%20concert%20finishes%20so%20let%E2%80%99s%20get%20a%20bite%20to%20eat%20now%20before%20we%20go%20in."]	["A%20small%20meal%2C%20possibly%20taken%20quickly%20when%20time%20is%20short."]	The United Kingdom.	Mostly the UK, but elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bite-to-eat.mp3	food	a bite to eat
