idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
A bull and cow	["Cockney rhyming slang for a row or argument."]	["They were shouting and screaming at each other - a real bull and cow."]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bull-and-cow.mp3	conflict,cockney_rhyming_slang,animals	a bull and cow	["Cockney%20rhyming%20slang%20for%20a%20row%20or%20argument."]	["They%20were%20shouting%20and%20screaming%20at%20each%20other%20-%20a%20real%20bull%20and%20cow."]
A bunch of fives	["A fist, as used in a fight."]	["Punch me would you? How’d you like a bunch of fives in your eye?"]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bunch-of-fives.mp3	conflict,the_human_body,slang	a bunch of fives	["A%20fist%2C%20as%20used%20in%20a%20fight."]	["Punch%20me%20would%20you%3F%20How%E2%80%99d%20you%20like%20a%20bunch%20of%20fives%20in%20your%20eye%3F"]
a chip off the old block	["Someone can be described as a chip off the old block if they are very similar in character to one of their parents, usually their father.",""]	["Everyone says I'm a chip off the old block, but I think I'm very different to my dad.","Jenny's a real chip off the old block. She must have been very close to her father when she was young."]				c	a chip off the old block	["Someone%20can%20be%20described%20as%20a%20chip%20off%20the%20old%20block%20if%20they%20are%20very%20similar%20in%20character%20to%20one%20of%20their%20parents%2C%20usually%20their%20father.",""]	["Everyone%20says%20I%27m%20a%20chip%20off%20the%20old%20block%2C%20but%20I%20think%20I%27m%20very%20different%20to%20my%20dad.","Jenny%27s%20a%20real%20chip%20off%20the%20old%20block.%20She%20must%20have%20been%20very%20close%20to%20her%20father%20when%20she%20was%20young."]
A chip on your shoulder	["A sense of inferiority characterized by a quickness to take offence."]	["He’s the only cabinet minister that didn’t go to Eton and it’s given him a bit of a chip on his shoulder."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-chip-on-your-shoulder.mp3	the_human_body,emotion,america	a chip on your shoulder	["A%20sense%20of%20inferiority%20characterized%20by%20a%20quickness%20to%20take%20offence."]	["He%E2%80%99s%20the%20only%20cabinet%20minister%20that%20didn%E2%80%99t%20go%20to%20Eton%20and%20it%E2%80%99s%20given%20him%20a%20bit%20of%20a%20chip%20on%20his%20shoulder."]
a couch potato	["You can say someone's a couch potato if they're very lazy and they spend a lot of time sitting around watching TV and eating junk food.",""]	["Since he lost his job, Marty has become a couch potato.","How can you expect to feel good and look good if you're a couch potato? If you turn off the TV, get some exercise, and eat healthy food, you'll soon look good and feel great."]				c,food	a couch potato	["You%20can%20say%20someone%27s%20a%20couch%20potato%20if%20they%27re%20very%20lazy%20and%20they%20spend%20a%20lot%20of%20time%20sitting%20around%20watching%20TV%20and%20eating%20junk%20food.",""]	["Since%20he%20lost%20his%20job%2C%20Marty%20has%20become%20a%20couch%20potato.","How%20can%20you%20expect%20to%20feel%20good%20and%20look%20good%20if%20you%27re%20a%20couch%20potato%3F%20If%20you%20turn%20off%20the%20TV%2C%20get%20some%20exercise%2C%20and%20eat%20healthy%20food%2C%20you%27ll%20soon%20look%20good%20and%20feel%20great."]
A diamond in the rough (a.k.a rough diamond )	["A person or thing having good underlying qualities while appearing to be coarse and unpolished."]	["He’d been in jail several times for fraud but when he found my lost wallet he returned it. A rough diamond if there ever was one."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-diamond-in-the-rough.mp3	crime	a diamond in the rough	["A%20person%20or%20thing%20having%20good%20underlying%20qualities%20while%20appearing%20to%20be%20coarse%20and%20unpolished."]	["He%E2%80%99d%20been%20in%20jail%20several%20times%20for%20fraud%20but%20when%20he%20found%20my%20lost%20wallet%20he%20returned%20it.%20A%20rough%20diamond%20if%20there%20ever%20was%20one."]
A dime a dozen	["So commonplace as to be of little consequence."]	["Red buses in London. they’re a dime a dozen."]	USA.	Worldwide.		money,number,america	a dime a dozen	["So%20commonplace%20as%20to%20be%20of%20little%20consequence."]	["Red%20buses%20in%20London.%20they%E2%80%99re%20a%20dime%20a%20dozen."]
a done deal	["A done deal is an agreement or a decision that is final.",""]	["It's a done deal so we can go ahead and start planning the details.","No-one knew about it, but the contract has been a done deal since the senator spoke to the minister last month."]				american,d	a done deal	["A%20done%20deal%20is%20an%20agreement%20or%20a%20decision%20that%20is%20final.",""]	["It%27s%20a%20done%20deal%20so%20we%20can%20go%20ahead%20and%20start%20planning%20the%20details.","No-one%20knew%20about%20it%2C%20but%20the%20contract%20has%20been%20a%20done%20deal%20since%20the%20senator%20spoke%20to%20the%20minister%20last%20month."]
A doubting Thomas	["A sceptic who won’t accept a widely believed truth until seeing the evidence in person."]	["I told him he would need a raincoat but, doubting Thomas that he his, he had to check the forecast for himself."]	From the Biblical story of Thomas, the apostle who doubted Jesus' resurrection.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-doubting-thomas.mp3	religion,name	a doubting thomas	["A%20sceptic%20who%20won%E2%80%99t%20accept%20a%20widely%20believed%20truth%20until%20seeing%20the%20evidence%20in%20person."]	["I%20told%20him%20he%20would%20need%20a%20raincoat%20but%2C%20doubting%20Thomas%20that%20he%20his%2C%20he%20had%20to%20check%20the%20forecast%20for%20himself."]
A drop in the bucket (or ocean)	["A very small part of a bigger whole.","If an amount is a drop in the bucket, it's a very small portion of the amount that's needed."]	["The country’s debt has risen to a trillion pounds. Paying off a billion is just a drop in the bucket.","Our government's sending a thousand tons of food, but that's just a drop in the bucket compared to what's needed.","I know twenty dollars is just a drop in the bucket, but if everyone gave that much it'd make a big difference."]	The Bible.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-drop-in-the-bucket.mp3	household_items,biblical,american,d	a drop in the bucket	["A%20very%20small%20part%20of%20a%20bigger%20whole.","If%20an%20amount%20is%20a%20drop%20in%20the%20bucket%2C%20it%27s%20a%20very%20small%20portion%20of%20the%20amount%20that%27s%20needed."]	["The%20country%E2%80%99s%20debt%20has%20risen%20to%20a%20trillion%20pounds.%20Paying%20off%20a%20billion%20is%20just%20a%20drop%20in%20the%20bucket.","Our%20government%27s%20sending%20a%20thousand%20tons%20of%20food%2C%20but%20that%27s%20just%20a%20drop%20in%20the%20bucket%20compared%20to%20what%27s%20needed.","I%20know%20twenty%20dollars%20is%20just%20a%20drop%20in%20the%20bucket%2C%20but%20if%20everyone%20gave%20that%20much%20it%27d%20make%20a%20big%20difference."]
