idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
Baby brain	["Confusion or forgetfulness caused by lack of sleep when caring for a new-born."]	["I put baby Julie's bottle of milk away in the oven today - must be baby brain."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-brain.mp3	family,stupidity,america	baby brain	["Confusion%20or%20forgetfulness%20caused%20by%20lack%20of%20sleep%20when%20caring%20for%20a%20new-born."]	["I%20put%20baby%20Julie%27s%20bottle%20of%20milk%20away%20in%20the%20oven%20today%20-%20must%20be%20baby%20brain."]
Baby bump	["The protruding belly of a pregnant woman. Also used to describe the unborn child itself."]	["Joan doesn't really want to make it public that she was pregnant but pretty soon her baby bump is going to make it obvious."]	Britain, 1980s	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-bump.mp3	children,family	baby bump	["The%20protruding%20belly%20of%20a%20pregnant%20woman.%20Also%20used%20to%20describe%20the%20unborn%20child%20itself."]	["Joan%20doesn%27t%20really%20want%20to%20make%20it%20public%20that%20she%20was%20pregnant%20but%20pretty%20soon%20her%20baby%20bump%20is%20going%20to%20make%20it%20obvious."]
Baby snatcher	["Someone who enters into an amorous relationship with a much younger person."]	["Jerry Lee Lewis never really recovered from being labelled a baby snatcher after he married his "," year old cousin."]	Britain.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-snatcher.mp3	euphemism,slang	baby snatcher	["Someone%20who%20enters%20into%20an%20amorous%20relationship%20with%20a%20much%20younger%20person."]	["Jerry%20Lee%20Lewis%20never%20really%20recovered%20from%20being%20labelled%20a%20baby%20snatcher%20after%20he%20married%20his%20","%20year%20old%20cousin."]
Back seat driver	["Someone who criticizes from the side-lines without being directly involved."]	["She's always ready to be a back seat driver and tell people what to do but she never does anything herself."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/back-seat-driver.mp3	travel,vehicle,america	back seat driver	["Someone%20who%20criticizes%20from%20the%20side-lines%20without%20being%20directly%20involved."]	["She%27s%20always%20ready%20to%20be%20a%20back%20seat%20driver%20and%20tell%20people%20what%20to%20do%20but%20she%20never%20does%20anything%20herself."]
Back to square one	["Back to the beginning.","If you have to go back to square one, you have to stop and start again, usually because something isn't working as well as expected."]	["He had nearly climbed the cliff before he slipped off. Now it's back to square one.","We were going to start the new company next month, but it's back to square one now that Omar has changed his mind about investing in it.","After they lost the election, the Liberal Party had to go back to square one and come up with some new policies and some new ideas."]	Britain, early 20th century. This probably comes from board games in which players start the game from the first square on the board, or "square one".	In the UK, but less so than a few years ago.	https://www.phrases.org.uk/idioms/audio/back-to-square-one.mp3	number,sport,failure,b,numbers	back to square one	["Back%20to%20the%20beginning.","If%20you%20have%20to%20go%20back%20to%20square%20one%2C%20you%20have%20to%20stop%20and%20start%20again%2C%20usually%20because%20something%20isn%27t%20working%20as%20well%20as%20expected."]	["He%20had%20nearly%20climbed%20the%20cliff%20before%20he%20slipped%20off.%20Now%20it%27s%20back%20to%20square%20one.","We%20were%20going%20to%20start%20the%20new%20company%20next%20month%2C%20but%20it%27s%20back%20to%20square%20one%20now%20that%20Omar%20has%20changed%20his%20mind%20about%20investing%20in%20it.","After%20they%20lost%20the%20election%2C%20the%20Liberal%20Party%20had%20to%20go%20back%20to%20square%20one%20and%20come%20up%20with%20some%20new%20policies%20and%20some%20new%20ideas."]
Back to the drawing board	["Said when a plan fails and it's time to start again and make a new plan.","You can say \"back to the drawing board\" when a plan or a design has failed, and you decide to begin all over again."]	["That battery hovercraft was a nice idea but it just didn't work. I guess it's back to the drawing board.","Their plans to open a hotel in Fiji fell through, so it was back to the drawing board.","Our new drug worked on rats, but when it was tried on people it failed, so we had to go back to the drawing board and start again."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/back-to-the-drawing-board.mp3	work,cliche,america,b	back to the drawing board	["Said%20when%20a%20plan%20fails%20and%20it%27s%20time%20to%20start%20again%20and%20make%20a%20new%20plan.","You%20can%20say%20%5C%22back%20to%20the%20drawing%20board%5C%22%20when%20a%20plan%20or%20a%20design%20has%20failed%2C%20and%20you%20decide%20to%20begin%20all%20over%20again."]	["That%20battery%20hovercraft%20was%20a%20nice%20idea%20but%20it%20just%20didn%27t%20work.%20I%20guess%20it%27s%20back%20to%20the%20drawing%20board.","Their%20plans%20to%20open%20a%20hotel%20in%20Fiji%20fell%20through%2C%20so%20it%20was%20back%20to%20the%20drawing%20board.","Our%20new%20drug%20worked%20on%20rats%2C%20but%20when%20it%20was%20tried%20on%20people%20it%20failed%2C%20so%20we%20had%20to%20go%20back%20to%20the%20drawing%20board%20and%20start%20again."]
backed into a corner	["If you're backed into a corner, you're in a difficult situation that will be hard to get out of.",""]	["When his business failed, Gerry felt he'd been backed into a corner and he didn't know what he could do.","Jimmy's drug addiction had backed him into a corner and his only way out was to go into rehab and kick the habit."]				b	backed into a corner	["If%20you%27re%20backed%20into%20a%20corner%2C%20you%27re%20in%20a%20difficult%20situation%20that%20will%20be%20hard%20to%20get%20out%20of.",""]	["When%20his%20business%20failed%2C%20Gerry%20felt%20he%27d%20been%20backed%20into%20a%20corner%20and%20he%20didn%27t%20know%20what%20he%20could%20do.","Jimmy%27s%20drug%20addiction%20had%20backed%20him%20into%20a%20corner%20and%20his%20only%20way%20out%20was%20to%20go%20into%20rehab%20and%20kick%20the%20habit."]
Bag lady	["A homeless woman, who carries all her possessions in shopping bags."]	["It's a shame about Edith. She had a home and family this time last year and now she's divorced and living on the streets as a bag lady."]	USA, 1970s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bag-lady.mp3	misfortune,america	bag lady	["A%20homeless%20woman%2C%20who%20carries%20all%20her%20possessions%20in%20shopping%20bags."]	["It%27s%20a%20shame%20about%20Edith.%20She%20had%20a%20home%20and%20family%20this%20time%20last%20year%20and%20now%20she%27s%20divorced%20and%20living%20on%20the%20streets%20as%20a%20bag%20lady."]
Baker's dozen	["Thirteen."]	["There's got to be at least twelve in each box. Better just pack a baker's dozen to be sure."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bakers-dozen.mp3	food,number	baker's dozen	["Thirteen."]	["There%27s%20got%20to%20be%20at%20least%20twelve%20in%20each%20box.%20Better%20just%20pack%20a%20baker%27s%20dozen%20to%20be%20sure."]
bark up the wrong tree	["If you're barking up the wrong tree, you're looking for something in the wrong place or going about something in the wrong way.",""]	["The police think the drugs are being brought in by the mafia, but they're barking up the wrong tree. They should be looking much closer to home.","She's barking up the wrong tree if she's interested in Gavin. Doesn't she know he's gay?"]	Metaphorical, from the image of a dog barking up a tree in which it thinks another animal has taken refuge in order to escape it.			b,plants	bark up the wrong tree	["If%20you%27re%20barking%20up%20the%20wrong%20tree%2C%20you%27re%20looking%20for%20something%20in%20the%20wrong%20place%20or%20going%20about%20something%20in%20the%20wrong%20way.",""]	["The%20police%20think%20the%20drugs%20are%20being%20brought%20in%20by%20the%20mafia%2C%20but%20they%27re%20barking%20up%20the%20wrong%20tree.%20They%20should%20be%20looking%20much%20closer%20to%20home.","She%27s%20barking%20up%20the%20wrong%20tree%20if%20she%27s%20interested%20in%20Gavin.%20Doesn%27t%20she%20know%20he%27s%20gay%3F"]
Barking up the wrong tree	["Responding to something which isn't the important issue."]	["The government is blaming the immigrants for the banking crisis, but they're barking up the wrong tree there."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/barking-up-the-wrong-tree.mp3	nature,animals	barking up the wrong tree	["Responding%20to%20something%20which%20isn%27t%20the%20important%20issue."]	["The%20government%20is%20blaming%20the%20immigrants%20for%20the%20banking%20crisis%2C%20but%20they%27re%20barking%20up%20the%20wrong%20tree%20there."]
Barnet Fair	["Cockney rhyming slang for hair."]	["I'm not sure about that new hairdresser - he cut my barnet much too short."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/barnet-fair.mp3	the_human_body,cockney_rhyming_slang,locat	barnet fair	["Cockney%20rhyming%20slang%20for%20hair."]	["I%27m%20not%20sure%20about%20that%20new%20hairdresser%20-%20he%20cut%20my%20barnet%20much%20too%20short."]
Basket case	["A person or thing that is no longer able to function effectively, either through disability or misfortune."]	["The Greek economy took a nosedive after the "," world financial meltdown - to the point of becoming a total economic basket case."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/basket-case.mp3	misfortune,america,medical	basket case	["A%20person%20or%20thing%20that%20is%20no%20longer%20able%20to%20function%20effectively%2C%20either%20through%20disability%20or%20misfortune."]	["The%20Greek%20economy%20took%20a%20nosedive%20after%20the%20","%20world%20financial%20meltdown%20-%20to%20the%20point%20of%20becoming%20a%20total%20economic%20basket%20case."]
Bat from the pavilion end	["Slang term for a homosexuality."]	["If Julian didn't want us to know he was batting from the pavilion end he shouldn't keep wearing those lilac loafers."]	Britain, 20th century. An allusion to the game of cricket.		https://www.phrases.org.uk/idioms/audio/bat-from-the-pavillion-end.mp3	sport,location,sex,euphemism,slang	bat from the pavilion end	["Slang%20term%20for%20a%20homosexuality."]	["If%20Julian%20didn%27t%20want%20us%20to%20know%20he%20was%20batting%20from%20the%20pavilion%20end%20he%20shouldn%27t%20keep%20wearing%20those%20lilac%20loafers."]
Be a sport	["Be generous and/or sportsmanlike."]	["Sorry Mr. Jones our ball is in your rose bed again. Be a sport and throw it back over the fence."]	Britain, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/be-a-sport.mp3	sport	be a sport	["Be%20generous%20and%2For%20sportsmanlike."]	["Sorry%20Mr.%20Jones%20our%20ball%20is%20in%20your%20rose%20bed%20again.%20Be%20a%20sport%20and%20throw%20it%20back%20over%20the%20fence."]
Be glad to see the back of	["Be happy when a person leaves or when an unpleasant situation is ended."]	["He came for two days and stayed a month. To be honest I was glad to see the back of him when he finally left."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/be-glad-to-see-the-back-of.mp3	conflict	be glad to see the back of	["Be%20happy%20when%20a%20person%20leaves%20or%20when%20an%20unpleasant%20situation%20is%20ended."]	["He%20came%20for%20two%20days%20and%20stayed%20a%20month.%20To%20be%20honest%20I%20was%20glad%20to%20see%20the%20back%20of%20him%20when%20he%20finally%20left."]
Beach bum	["Someone, usually a youngster, who spends all their time hanging out at the beach surfing and partying."]	["Shane Warne was well on his way the becoming a beach bum until he found his calling in sport. Now he's a cricketing legend."]	Australia, 1960s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beach-bum.mp3	australian_origin	beach bum	["Someone%2C%20usually%20a%20youngster%2C%20who%20spends%20all%20their%20time%20hanging%20out%20at%20the%20beach%20surfing%20and%20partying."]	["Shane%20Warne%20was%20well%20on%20his%20way%20the%20becoming%20a%20beach%20bum%20until%20he%20found%20his%20calling%20in%20sport.%20Now%20he%27s%20a%20cricketing%20legend."]
Bean counter	["A disparaging term for an accountant or anyone who compiles statistics."]	["It's a shame. Jim was a first rate pure mathematician but the bank offered him so much money to be their bean counter he decided to take it."]	New Zealand.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bean-counter.mp3	money	bean counter	["A%20disparaging%20term%20for%20an%20accountant%20or%20anyone%20who%20compiles%20statistics."]	["It%27s%20a%20shame.%20Jim%20was%20a%20first%20rate%20pure%20mathematician%20but%20the%20bank%20offered%20him%20so%20much%20money%20to%20be%20their%20bean%20counter%20he%20decided%20to%20take%20it."]
bear the brunt	["If you bear the brunt of something, you suffer the worst of its impact or its effects.",""]	["The driver bore the brunt of the crash because he was right at the front of the bus.","The team's coach bore the brunt of the criticism because he'd selected the players who'd performed so badly."]				b	bear the brunt	["If%20you%20bear%20the%20brunt%20of%20something%2C%20you%20suffer%20the%20worst%20of%20its%20impact%20or%20its%20effects.",""]	["The%20driver%20bore%20the%20brunt%20of%20the%20crash%20because%20he%20was%20right%20at%20the%20front%20of%20the%20bus.","The%20team%27s%20coach%20bore%20the%20brunt%20of%20the%20criticism%20because%20he%27d%20selected%20the%20players%20who%27d%20performed%20so%20badly."]
Beat around the bush	["Avoiding the main topic."]	["If you want Jill to go out with her, don't beat around the bush - ask her."]	Britain, 1400s. One of the oldest non-Biblical phrases in the language.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beat-around-the-bush.mp3	nature,biblical	beat around the bush	["Avoiding%20the%20main%20topic."]	["If%20you%20want%20Jill%20to%20go%20out%20with%20her%2C%20don%27t%20beat%20around%20the%20bush%20-%20ask%20her."]
beat around the bush | beat about the bush	["If you beat around the bush, or beat about the bush, you don't say something directly, usually because you don't want to upset the person you're talking to.",""]	["I had trouble telling Pedro he'd lost his job. I started beating around the bush and talking about one door closing and another door opening.","Stop beating about the bush. Just tell me what's happened!"]				b,nature,plants	beat around the bush,beat about the bush	["If%20you%20beat%20around%20the%20bush%2C%20or%20beat%20about%20the%20bush%2C%20you%20don%27t%20say%20something%20directly%2C%20usually%20because%20you%20don%27t%20want%20to%20upset%20the%20person%20you%27re%20talking%20to.",""]	["I%20had%20trouble%20telling%20Pedro%20he%27d%20lost%20his%20job.%20I%20started%20beating%20around%20the%20bush%20and%20talking%20about%20one%20door%20closing%20and%20another%20door%20opening.","Stop%20beating%20about%20the%20bush.%20Just%20tell%20me%20what%27s%20happened%21"]
beat the rap	["If someone beats the rap, they avoid being found guilty of a crime.",""]	["Everyone knows that Jimmy the Snitch did the robbery in Green St., but he beat the rap because he's in with the cops.","Henry was charged with drunk driving, but his lawyer helped him beat the rap on some technical detail."]				american,b,law	beat the rap	["If%20someone%20beats%20the%20rap%2C%20they%20avoid%20being%20found%20guilty%20of%20a%20crime.",""]	["Everyone%20knows%20that%20Jimmy%20the%20Snitch%20did%20the%20robbery%20in%20Green%20St.%2C%20but%20he%20beat%20the%20rap%20because%20he%27s%20in%20with%20the%20cops.","Henry%20was%20charged%20with%20drunk%20driving%2C%20but%20his%20lawyer%20helped%20him%20beat%20the%20rap%20on%20some%20technical%20detail."]
Beauty contest / Beauty parade	["A political contest in which the result is influenced by personality and image more than by policy."]	["These Republican TV debates are just PR stunts - nothing more than beauty parades."]	USA	Mostly USA.	https://www.phrases.org.uk/idioms/audio/beauty-contest.mp3	politics	beauty contest	["A%20political%20contest%20in%20which%20the%20result%20is%20influenced%20by%20personality%20and%20image%20more%20than%20by%20policy."]	["These%20Republican%20TV%20debates%20are%20just%20PR%20stunts%20-%20nothing%20more%20than%20beauty%20parades."]
Bedroom tax	["slang term for UK's removal of Spare Room Subsidy."]	["Just because I've got a room to keep my son's wheelchair I'm going to be caught by the bedroom tax."]	Britain, following the introduction of the Spare Room Subsidy in the UK in 2013.	Britain.	https://www.phrases.org.uk/idioms/audio/bedroom-tax.mp3	money	bedroom tax	["slang%20term%20for%20UK%27s%20removal%20of%20Spare%20Room%20Subsidy."]	["Just%20because%20I%27ve%20got%20a%20room%20to%20keep%20my%20son%27s%20wheelchair%20I%27m%20going%20to%20be%20caught%20by%20the%20bedroom%20tax."]
behind someone's back	["If you do something behind someone's back, you do it without letting them know about it.",""]	["We've taught our kids that it's impolite to talk about people behind their backs.","The nurses had to go behind the doctor's back when they reported him for drinking alcohol before doing operations."]				b,body	behind someone's back	["If%20you%20do%20something%20behind%20someone%27s%20back%2C%20you%20do%20it%20without%20letting%20them%20know%20about%20it.",""]	["We%27ve%20taught%20our%20kids%20that%20it%27s%20impolite%20to%20talk%20about%20people%20behind%20their%20backs.","The%20nurses%20had%20to%20go%20behind%20the%20doctor%27s%20back%20when%20they%20reported%20him%20for%20drinking%20alcohol%20before%20doing%20operations."]
behind the eight ball	["If you're behind the eight ball, you're in a difficult or dangerous position.",""]	["The economic recession has really put our new business behind the eight ball. Nobody's spending money.","Carlo is behind the eight ball now because his final exam is in two days and he still hasn't started studying for it."]	From a version of pool in which the balls are numbered and must be potted in order. A player loses if he hits the black eight ball in first, so if the cue ball is "behind the eight ball" he's in a dangerous position.			american,b,numbers,sports	behind the eight ball	["If%20you%27re%20behind%20the%20eight%20ball%2C%20you%27re%20in%20a%20difficult%20or%20dangerous%20position.",""]	["The%20economic%20recession%20has%20really%20put%20our%20new%20business%20behind%20the%20eight%20ball.%20Nobody%27s%20spending%20money.","Carlo%20is%20behind%20the%20eight%20ball%20now%20because%20his%20final%20exam%20is%20in%20two%20days%20and%20he%20still%20hasn%27t%20started%20studying%20for%20it."]
behind the times	["If someone is behind the times, they are old-fashioned and their ideas  are out of date.",""]	["How can we be a successful company if our executives are so behind the times that they don't know what people want these days?","Neil is really behind the times. He doesn't even know what rap music sounds like!"]				b,time	behind the times	["If%20someone%20is%20behind%20the%20times%2C%20they%20are%20old-fashioned%20and%20their%20ideas%20%20are%20out%20of%20date.",""]	["How%20can%20we%20be%20a%20successful%20company%20if%20our%20executives%20are%20so%20behind%20the%20times%20that%20they%20don%27t%20know%20what%20people%20want%20these%20days%3F","Neil%20is%20really%20behind%20the%20times.%20He%20doesn%27t%20even%20know%20what%20rap%20music%20sounds%20like%21"]
Bells and whistles	["Attractive additional features or trimmings."]	["It was expensive to get all the optional extras for my new car, but I decided that I wasn't going to get another for a few years so why not go for all the bells and whistles?"]	USA, late 20th century. First used in the computing world to refer to machines with lots of new features. Probably ultimately deriving as an allusion to fairgound organs, which have numerous bells and whistles.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bells-and-whistles.mp3	excess,america	bells and whistles	["Attractive%20additional%20features%20or%20trimmings."]	["It%20was%20expensive%20to%20get%20all%20the%20optional%20extras%20for%20my%20new%20car%2C%20but%20I%20decided%20that%20I%20wasn%27t%20going%20to%20get%20another%20for%20a%20few%20years%20so%20why%20not%20go%20for%20all%20the%20bells%20and%20whistles%3F"]
Bend over backwards	["Make extravagant efforts to avoid bias."]	["Everyone assumed the commentators would prefer their own team. They had to bend over backwards to show that they were being fair."]			https://www.phrases.org.uk/idioms/audio/bend-over-backwards.mp3	effort	bend over backwards	["Make%20extravagant%20efforts%20to%20avoid%20bias."]	["Everyone%20assumed%20the%20commentators%20would%20prefer%20their%20own%20team.%20They%20had%20to%20bend%20over%20backwards%20to%20show%20that%20they%20were%20being%20fair."]
beside the point	["You can say something is beside the point if it has nothing to do with what's being talked about or with the reason something is being done.",""]	["What older people think of the product is beside the point. We are marketing to young people, so the only thing that matters is what they think.","I eat this food because it's good for me, so whether it's delicious or not is beside the point."]				b	beside the point	["You%20can%20say%20something%20is%20beside%20the%20point%20if%20it%20has%20nothing%20to%20do%20with%20what%27s%20being%20talked%20about%20or%20with%20the%20reason%20something%20is%20being%20done.",""]	["What%20older%20people%20think%20of%20the%20product%20is%20beside%20the%20point.%20We%20are%20marketing%20to%20young%20people%2C%20so%20the%20only%20thing%20that%20matters%20is%20what%20they%20think.","I%20eat%20this%20food%20because%20it%27s%20good%20for%20me%2C%20so%20whether%20it%27s%20delicious%20or%20not%20is%20beside%20the%20point."]
Between a rock and a hard place	["Between two unwelcome options."]	["The only choices I have are poverty or a boring job - I'm between a rock and a hard place."]	USA, 20th century. Sometimes mistakenly thought to come from Homer's Odyssey.	Worldwide.	https://www.phrases.org.uk/idioms/audio/between-a-rock-and-a-hard-place.mp3	nature,cliche,america	between a rock and a hard place	["Between%20two%20unwelcome%20options."]	["The%20only%20choices%20I%20have%20are%20poverty%20or%20a%20boring%20job%20-%20I%27m%20between%20a%20rock%20and%20a%20hard%20place."]
Between the wars	["The period between WWI and WWII."]	["My parents were married in ",". I'm not really a war baby, more a between the wars baby."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/between-the-wars.mp3	date	between the wars	["The%20period%20between%20WWI%20and%20WWII."]	["My%20parents%20were%20married%20in%20",".%20I%27m%20not%20really%20a%20war%20baby%2C%20more%20a%20between%20the%20wars%20baby."]
beyond a shadow of a doubt	["Something is true \"beyond a shadow of a doubt\" if there is no possibility at all that it isn't true.",""]	["Are you absolutely sure, beyond a shadow of a doubt, that he is guilty of the crime?","A few years ago a great many scientists said they were sure, beyond a shadow of a doubt, that there was no such thing as global warming. Were they right?"]				b	beyond a shadow of a doubt	["Something%20is%20true%20%5C%22beyond%20a%20shadow%20of%20a%20doubt%5C%22%20if%20there%20is%20no%20possibility%20at%20all%20that%20it%20isn%27t%20true.",""]	["Are%20you%20absolutely%20sure%2C%20beyond%20a%20shadow%20of%20a%20doubt%2C%20that%20he%20is%20guilty%20of%20the%20crime%3F","A%20few%20years%20ago%20a%20great%20many%20scientists%20said%20they%20were%20sure%2C%20beyond%20a%20shadow%20of%20a%20doubt%2C%20that%20there%20was%20no%20such%20thing%20as%20global%20warming.%20Were%20they%20right%3F"]
Beyond price	["To be so prized and valuable as to not be obtainable by money."]	["Getting in to the school hall for the annual nativity play cost us $","but seeing little Angie in the lead role was beyond price."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beyond-price.mp3	money,excellence	beyond price	["To%20be%20so%20prized%20and%20valuable%20as%20to%20not%20be%20obtainable%20by%20money."]	["Getting%20in%20to%20the%20school%20hall%20for%20the%20annual%20nativity%20play%20cost%20us%20%24","but%20seeing%20little%20Angie%20in%20the%20lead%20role%20was%20beyond%20price."]
Big fish in a small pond	["An important person but only so within a small area of influence."]	["Alison is the queen of the post room. She's a big fish in a small pond though - no one in the rest of the company knows who she is."]	USA, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/big-fish-in-a-small-pond.mp3	nature,animals,water,america	big fish in a small pond	["An%20important%20person%20but%20only%20so%20within%20a%20small%20area%20of%20influence."]	["Alison%20is%20the%20queen%20of%20the%20post%20room.%20She%27s%20a%20big%20fish%20in%20a%20small%20pond%20though%20-%20no%20one%20in%20the%20rest%20of%20the%20company%20knows%20who%20she%20is."]
Binge watch	["Watch multiple episodes of a television programme in succession."]	["We started off just planning to watch an episode of The Sopranos but ended up binge-watching the whole series."]	USA, late 20th century.	Initially the USA, but quickly spreading Worldwide.	https://www.phrases.org.uk/idioms/audio/binge-watch.mp3	excess,america	binge watch	["Watch%20multiple%20episodes%20of%20a%20television%20programme%20in%20succession."]	["We%20started%20off%20just%20planning%20to%20watch%20an%20episode%20of%20The%20Sopranos%20but%20ended%20up%20binge-watching%20the%20whole%20series."]
Bite off more than you can chew	["Take on a task that is more than one can manage."]	["You should never have challenged Usain Bolt to a race - you've really bitten off more than you can chew there."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-off-more-than-you-can-chew.mp3	food	bite off more than you can chew	["Take%20on%20a%20task%20that%20is%20more%20than%20one%20can%20manage."]	["You%20should%20never%20have%20challenged%20Usain%20Bolt%20to%20a%20race%20-%20you%27ve%20really%20bitten%20off%20more%20than%20you%20can%20chew%20there."]
Bite the dust	["Die, especially in a violent or sudden way."]	["Butch Cassidy and the Sundance Kid bit the dust at the end of the movie."]	Britain, 18th century. Probably influenced by a biblical passage.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-the-dust.mp3	death,cliche	bite the dust	["Die%2C%20especially%20in%20a%20violent%20or%20sudden%20way."]	["Butch%20Cassidy%20and%20the%20Sundance%20Kid%20bit%20the%20dust%20at%20the%20end%20of%20the%20movie."]
Bite your tongue	["Avoid speaking."]	["I knew his wife wasn't faithful but I didn't like to say - I thought it best to bite my tongue."]	Britain. Early (pre 1000AD) English, in the form of hold or keep one's tongue.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-your-tongue.mp3	the_human_body,language,patience	bite your tongue	["Avoid%20speaking."]	["I%20knew%20his%20wife%20wasn%27t%20faithful%20but%20I%20didn%27t%20like%20to%20say%20-%20I%20thought%20it%20best%20to%20bite%20my%20tongue."]
bite your tongue | hold your tongue	["If you bite your tongue, or hold your tongue, you force yourself not to say something you really want to say.",""]	["I wanted to tell Carlos he was being stupid, but I bit my tongue and just sat there.","You're going to have to learn to hold your tongue instead of saying whatever comes into your head."]				b,body	bite your tongue,hold your tongue	["If%20you%20bite%20your%20tongue%2C%20or%20hold%20your%20tongue%2C%20you%20force%20yourself%20not%20to%20say%20something%20you%20really%20want%20to%20say.",""]	["I%20wanted%20to%20tell%20Carlos%20he%20was%20being%20stupid%2C%20but%20I%20bit%20my%20tongue%20and%20just%20sat%20there.","You%27re%20going%20to%20have%20to%20learn%20to%20hold%20your%20tongue%20instead%20of%20saying%20whatever%20comes%20into%20your%20head."]
Blood blister	["Cockney rhyming slang for sister."]	["There were five of us at home - three brothers and two blood blisters."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/blood-blister.mp3	family,cockney_rhyming_slang	blood blister	["Cockney%20rhyming%20slang%20for%20sister."]	["There%20were%20five%20of%20us%20at%20home%20-%20three%20brothers%20and%20two%20blood%20blisters."]
Blood is thicker than water	["Family loyalties are stronger than those to other people."]	["It was just me and his son in the job interview. I had no chance, blood is thicker than water you know."]	Britain. Probably coined by Sir Walter Scott, 1815.	Worldwide.	https://www.phrases.org.uk/idioms/audio/blood-is-thicker-than-water.mp3	family,nature,aphorism	blood is thicker than water	["Family%20loyalties%20are%20stronger%20than%20those%20to%20other%20people."]	["It%20was%20just%20me%20and%20his%20son%20in%20the%20job%20interview.%20I%20had%20no%20chance%2C%20blood%20is%20thicker%20than%20water%20you%20know."]
Blow a raspberry	["Cockney rhyming slang for fart."]	["Not good timing - we were sitting at the table when Granny said grace and he let go a raspberry."]	Britain.		https://www.phrases.org.uk/idioms/audio/blow-a-raspberry.mp3	cockney_rhyming_slang,food,fruit	blow a raspberry	["Cockney%20rhyming%20slang%20for%20fart."]	["Not%20good%20timing%20-%20we%20were%20sitting%20at%20the%20table%20when%20Granny%20said%20grace%20and%20he%20let%20go%20a%20raspberry."]
blow your own horn | blow your own trumpet	["If you blow your own horn, or blow your own trumpet, you proudly boast about your own talents and successes.",""]	["I hate the way Barry always blows his own horn, and I get sick of hearing about all the amazing things he's done.","Lorraine says that if you want to be successful in the fashion business, you really have to blow your own trumpet."]				b,music	blow your own horn,blow your own trumpet	["If%20you%20blow%20your%20own%20horn%2C%20or%20blow%20your%20own%20trumpet%2C%20you%20proudly%20boast%20about%20your%20own%20talents%20and%20successes.",""]	["I%20hate%20the%20way%20Barry%20always%20blows%20his%20own%20horn%2C%20and%20I%20get%20sick%20of%20hearing%20about%20all%20the%20amazing%20things%20he%27s%20done.","Lorraine%20says%20that%20if%20you%20want%20to%20be%20successful%20in%20the%20fashion%20business%2C%20you%20really%20have%20to%20blow%20your%20own%20trumpet."]
Blue plate special	["A set meal provided at a reduced price."]	["We were hungry but broke. The blue plate special was our only option."]	USA, early 20th century.	USA.	https://www.phrases.org.uk/idioms/audio/blue-plate-special.mp3	food,america	blue plate special	["A%20set%20meal%20provided%20at%20a%20reduced%20price."]	["We%20were%20hungry%20but%20broke.%20The%20blue%20plate%20special%20was%20our%20only%20option."]
Boat race	["Cockney rhyming slang for face."]	["Stupid am I! Look into my boat and say that again!"]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/boat-race.mp3	cockney_rhyming_slang,sport,the_human_body	boat race	["Cockney%20rhyming%20slang%20for%20face."]	["Stupid%20am%20I%21%20Look%20into%20my%20boat%20and%20say%20that%20again%21"]
Bottle and glass	["Cockney rhyming slang for arse."]	["He slipped on those wet leaves by the gate. Legs in the air and landed on his bottle."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/bottle-and-glass.mp3	the_human_body,cockney_rhyming_slang	bottle and glass	["Cockney%20rhyming%20slang%20for%20arse."]	["He%20slipped%20on%20those%20wet%20leaves%20by%20the%20gate.%20Legs%20in%20the%20air%20and%20landed%20on%20his%20bottle."]
